Job index,Operation index,Machine index,Grey processing time
1,1,2,"[7.2]:0.01 | [7.3]:0.18 | [7.4]:0.18 | (7.4,7.8):0.04 | [7.8]:0.18 | [7.9]:0.18 | [8.0]:0.18 | (8.0,8.3]:0.04"
1,1,6,[2.8]:1.0
1,1,7,[1.9]:1.0
1,1,9,"[5.0,5.4):0.4 | [5.4]:0.6"
1,2,9,"[6.7]:0.08 | [6.8]:0.75 | (6.8,7.0]:0.17"
1,2,1,"[1.8]:0.06 | [1.9]:0.56 | (1.9,2.1):0.06 | [2.1]:0.31"
1,3,7,[3.6]:0.21 | [3.7]:0.21 | [3.8]:0.21 | [3.9]:0.38
1,3,1,"[4.0]:0.44 | (4.0,4.2):0.11 | [4.2]:0.44"
1,3,9,[1.0]:0.62 | [1.1]:0.38
1,3,2,[7.4]:1.0
1,3,10,[3.8]:0.17 | [3.9]:0.83
1,4,1,[0.9]:0.58 | [1.0]:0.42
1,4,8,"[1.9]:0.44 | (1.9,2.1):0.11 | [2.1]:0.44"
1,5,7,"[4.8]:0.19 | (4.8,5.0):0.02 | [5.0]:0.52 | (5.0,5.2):0.02 | [5.2]:0.19 | (5.2,5.4]:0.05"
1,5,3,"[7.2]:0.19 | (7.2,7.5):0.04 | [7.5]:0.19 | [7.6]:0.19 | (7.6,7.9):0.04 | [7.9]:0.19 | [8.0]:0.19"
1,5,5,[7.3]:0.06 | [7.4]:0.31 | [7.5]:0.31 | [7.6]:0.31
1,6,1,[2.9]:0.04 | [3.0]:0.54 | [3.1]:0.38 | [3.2]:0.04
1,6,8,"[7.5,8.1):0.27 | [8.1]:0.55 | (8.1,8.5]:0.18"
1,6,2,"[4.5]:0.05 | [4.6]:0.38 | [4.7]:0.38 | (4.7,5.1]:0.19"
1,6,3,[7.7]:0.56 | [7.8]:0.39 | [7.9]:0.06
1,6,10,"[8.2,8.9):0.35 | [8.9]:0.55 | (8.9,9.1]:0.1"
1,7,5,[5.7]:0.11 | [5.8]:0.44 | [5.9]:0.44
1,7,1,[1.1]:1.0
1,7,6,[2.0]:1.0
1,8,2,[4.6]:0.04 | [4.7]:0.54 | [4.8]:0.38 | [4.9]:0.04
1,8,1,"[8.5]:0.22 | (8.5,9.0):0.09 | [9.0]:0.22 | (9.0,9.2):0.02 | [9.2]:0.22 | [9.3]:0.22"
1,8,9,[0.9]:0.5 | [1.0]:0.5
1,8,5,"[6.9]:0.42 | [7.0]:0.42 | (7.0,7.2]:0.17"
1,8,4,[5.6]:0.17 | [5.7]:0.67 | [5.8]:0.17
1,9,10,"[5.5,5.9):0.29 | [5.9]:0.57 | (5.9,6.1]:0.14"
1,9,1,[1.9]:0.5 | [2.0]:0.5
1,10,7,"[8.7]:0.28 | (8.7,9.0):0.05 | [9.0]:0.28 | (9.0,9.4):0.08 | [9.4]:0.28 | (9.4,9.6]:0.05"
1,10,5,"[5.5,5.8):0.09 | [5.8]:0.36 | (5.8,6.4):0.15 | [6.4]:0.36 | [6.5]:0.03"
1,11,4,"[7.2]:0.27 | (7.2,7.5):0.05 | [7.5]:0.27 | (7.5,7.9):0.07 | [7.9]:0.27 | (7.9,8.2]:0.07"
1,11,7,[1.8]:0.25 | [1.9]:0.75
1,12,2,[1.0]:0.83 | [1.1]:0.17
1,12,5,"[8.1,8.5):0.29 | [8.5]:0.57 | (8.5,8.7]:0.14"
1,12,4,[1.8]:0.58 | [1.9]:0.42
1,12,1,[7.4]:0.27 | [7.5]:0.27 | [7.6]:0.47
1,12,3,"[6.7,7.1):0.06 | [7.1]:0.35 | [7.2]:0.18 | [7.3]:0.18 | [7.4]:0.18 | (7.4,7.7]:0.05"
1,13,10,[2.0]:1.0
1,13,8,"[8.6,9.2):0.33 | [9.2]:0.56 | (9.2,9.4]:0.11"
1,13,4,[4.9]:1.0
1,14,7,[5.1]:0.83 | [5.2]:0.17
1,14,3,"[6.5]:0.1 | [6.6]:0.6 | (6.6,6.9]:0.3"
1,14,9,"[2.8,3.0):0.13 | [3.0]:0.4 | [3.1]:0.4 | [3.2]:0.07"
1,15,9,"[3.7,3.9):0.1 | [3.9]:0.8 | (3.9,4.1]:0.1"
1,15,5,"[8.3]:0.05 | [8.4]:0.3 | (8.4,8.6):0.05 | [8.6]:0.55 | [8.7]:0.05"
1,15,1,[0.9]:1.0
2,1,1,[3.0]:0.5 | [3.1]:0.5
2,1,8,"[7.4,8.4):0.26 | [8.4]:0.36 | [8.5]:0.36 | [8.6]:0.03"
2,1,2,"[4.8]:0.39 | [4.9]:0.39 | (4.9,5.3]:0.22"
2,1,3,"[7.9,8.1):0.33 | [8.1]:0.67"
2,1,10,"[8.2,9.2):0.38 | [9.2]:0.54 | (9.2,9.4]:0.08"
2,2,7,"[3.7]:0.04 | [3.8]:0.64 | (3.8,4.0):0.04 | [4.0]:0.24 | [4.1]:0.04"
2,2,1,[3.8]:0.1 | [3.9]:0.9
2,2,9,"[0.9]:0.67 | (0.9,1.1]:0.33"
2,2,2,"[7.2]:0.03 | [7.3]:0.19 | [7.4]:0.53 | [7.5]:0.19 | (7.5,7.7]:0.06"
2,2,10,[3.7]:0.7 | [3.8]:0.3
2,3,5,[6.2]:0.17 | [6.3]:0.67 | [6.4]:0.17
2,3,1,[0.9]:0.22 | [1.0]:0.56 | [1.1]:0.22
2,3,6,[1.9]:0.72 | [2.0]:0.22 | [2.1]:0.06
2,4,2,[1.0]:1.0
2,4,5,"[7.3]:0.02 | [7.4]:0.18 | (7.4,7.8):0.05 | [7.8]:0.18 | [7.9]:0.18 | (7.9,8.2):0.03 | [8.2]:0.35 | [8.3]:0.02"
2,4,4,[2.0]:0.17 | [2.1]:0.83
2,4,1,"[7.9]:0.47 | (7.9,8.1):0.07 | [8.1]:0.47"
2,4,3,"[6.8]:0.02 | [6.9]:0.18 | (6.9,7.3):0.05 | [7.3]:0.18 | (7.3,7.5):0.02 | [7.5]:0.18 | (7.5,7.7):0.02 | [7.7]:0.35"
2,5,4,"[7.7,8.0):0.14 | [8.0]:0.55 | (8.0,8.7]:0.32"
2,5,7,[1.8]:0.08 | [1.9]:0.42 | [2.0]:0.42 | [2.1]:0.08
2,6,10,"[5.6,6.1):0.25 | [6.1]:0.55 | (6.1,6.5]:0.2"
2,6,1,[1.9]:0.27 | [2.0]:0.47 | [2.1]:0.27
2,7,10,[2.0]:1.0
2,7,8,[8.3]:0.58 | [8.4]:0.33 | [8.5]:0.08
2,7,4,"[4.6,5.0):0.12 | [5.0]:0.28 | [5.1]:0.53 | (5.1,5.3]:0.06"
2,8,7,[9.7]:0.5 | [9.8]:0.5
2,8,5,"[5.7,5.9):0.04 | [5.9]:0.22 | (5.9,6.2):0.04 | [6.2]:0.42 | (6.2,6.5):0.04 | [6.5]:0.22 | [6.6]:0.02"
2,9,7,"[4.7,5.2):0.42 | [5.2]:0.58"
2,9,3,[7.2]:1.0
2,9,9,[3.1]:1.0
2,10,7,[4.8]:0.11 | [4.9]:0.44 | [5.0]:0.44
2,10,3,[8.0]:0.38 | [8.1]:0.62
2,10,5,"[7.3]:0.01 | [7.4]:0.18 | (7.4,7.6):0.01 | [7.6]:0.18 | (7.6,7.9):0.02 | [7.9]:0.18 | (7.9,8.6):0.06 | [8.6]:0.18 | [8.7]:0.18 | [8.8]:0.01"
2,11,9,[3.8]:0.83 | [3.9]:0.17
2,11,5,"[7.6]:0.07 | [7.7]:0.4 | [7.8]:0.4 | (7.8,8.0]:0.13"
2,11,1,[1.1]:1.0
2,12,9,"[6.5,6.7):0.03 | [6.7]:0.22 | [6.8]:0.22 | [6.9]:0.22 | (6.9,7.1):0.02 | [7.1]:0.22 | (7.1,7.6]:0.08"
2,12,1,[2.0]:0.12 | [2.1]:0.88
2,13,1,[0.9]:0.5 | [1.0]:0.5
2,13,8,[2.0]:0.5 | [2.1]:0.5
2,14,2,"[7.8]:0.56 | (7.8,8.5]:0.44"
2,14,6,"[2.9]:0.08 | [3.0]:0.75 | (3.0,3.2]:0.17"
2,14,7,[2.0]:0.22 | [2.1]:0.56 | [2.2]:0.22
2,14,9,[5.1]:0.7 | [5.2]:0.3
2,15,2,"[4.8]:0.36 | (4.8,5.1):0.06 | [5.1]:0.36 | [5.2]:0.19 | [5.3]:0.03"
2,15,1,"[8.1,8.3):0.11 | [8.3]:0.39 | (8.3,8.6):0.11 | [8.6]:0.39"
2,15,9,[1.0]:0.5 | [1.1]:0.5
2,15,5,"[6.8,7.2):0.13 | [7.2]:0.43 | [7.3]:0.43"
2,15,4,"[5.5,6.0):0.11 | [6.0]:0.62 | [6.1]:0.22 | (6.1,6.3]:0.04"
3,1,1,[1.1]:1.0
3,1,8,"[1.9]:0.47 | (1.9,2.1):0.07 | [2.1]:0.47"
3,2,7,"[8.5]:0.28 | (8.5,9.0):0.1 | [9.0]:0.28 | [9.1]:0.28 | (9.1,9.4]:0.08"
3,2,5,"[5.7]:0.31 | [5.8]:0.31 | (5.8,6.0):0.06 | [6.0]:0.31"
3,3,10,"[5.7,5.9):0.03 | [5.9]:0.18 | (5.9,6.1):0.02 | [6.1]:0.35 | [6.2]:0.18 | (6.2,6.5):0.03 | [6.5]:0.18 | [6.6]:0.02"
3,3,1,[1.9]:0.58 | [2.0]:0.33 | [2.1]:0.08
3,4,4,"[7.7,8.0):0.11 | [8.0]:0.54 | [8.1]:0.29 | (8.1,8.3]:0.07"
3,4,7,"[1.9,2.2):0.25 | [2.2]:0.75"
