Job index,Operation index,Machine index,Grey processing time
1,1,3,"[4.8,5.2):0.33 | [5.2]:0.58 | [5.3]:0.08"
1,1,2,"[6.8,7.0):0.13 | [7.0]:0.4 | [7.1]:0.4 | [7.2]:0.07"
1,2,1,"[7.7,8.3):0.27 | [8.3]:0.55 | (8.3,8.7]:0.18"
1,2,4,[8.4]:0.08 | [8.5]:0.83 | [8.6]:0.08
1,3,1,"[5.8,6.0):0.25 | [6.0]:0.62 | [6.1]:0.12"
1,3,2,[5.2]:0.08 | [5.3]:0.33 | [5.4]:0.58
1,4,3,"[7.2]:0.12 | [7.3]:0.62 | (7.3,7.5]:0.25"
1,5,4,"[4.9]:0.62 | (4.9,5.2]:0.38"
1,5,2,"[5.4]:0.28 | (5.4,5.6):0.03 | [5.6]:0.28 | (5.6,5.8):0.03 | [5.8]:0.28 | (5.8,6.1]:0.09"
1,6,4,"[4.6,4.8):0.08 | [4.8]:0.38 | (4.8,5.2):0.12 | [5.2]:0.38 | [5.3]:0.04"
1,6,1,"[4.9]:0.83 | (4.9,5.1]:0.17"
2,1,3,[6.5]:1.0
2,2,1,"[5.8,6.0):0.05 | [6.0]:0.23 | [6.1]:0.23 | [6.2]:0.23 | (6.2,6.4):0.03 | [6.4]:0.23 | [6.5]:0.03"
2,2,2,"[4.7,4.9):0.2 | [4.9]:0.6 | (4.9,5.1]:0.2"
2,3,4,"[6.2]:0.44 | (6.2,6.4):0.11 | [6.4]:0.44"
2,4,4,"[4.7]:0.24 | (4.7,5.0):0.08 | [5.0]:0.24 | [5.1]:0.44"
2,4,2,[5.6]:0.58 | [5.7]:0.42
2,5,1,[7.5]:0.47 | [7.6]:0.47 | [7.7]:0.07
2,5,2,"[5.7]:0.6 | (5.7,6.1]:0.4"
3,1,4,"[6.8]:0.02 | [6.9]:0.22 | [7.0]:0.22 | (7.0,7.4):0.07 | [7.4]:0.22 | [7.5]:0.22 | [7.6]:0.02"
3,1,3,[8.5]:0.12 | [8.6]:0.88
3,2,3,[4.9]:0.07 | [5.0]:0.87 | [5.1]:0.07
3,2,2,"[6.8]:0.29 | (6.8,7.0):0.04 | [7.0]:0.29 | [7.1]:0.29 | (7.1,7.4]:0.11"
3,3,4,"[4.9]:0.56 | (4.9,5.1):0.06 | [5.1]:0.31 | [5.2]:0.06"
3,3,1,[4.6]:0.25 | [4.7]:0.75
3,4,1,[8.6]:0.07 | [8.7]:0.47 | [8.8]:0.47
3,4,4,"[8.3,8.5):0.17 | [8.5]:0.58 | (8.5,8.8]:0.25"
3,5,1,[5.4]:0.7 | [5.5]:0.3
3,5,2,[5.0]:1.0
3,6,4,"[6.3,6.5):0.22 | [6.5]:0.78"
3,7,1,[7.5]:0.3 | [7.6]:0.7
3,7,2,"[5.6]:0.2 | (5.6,5.8):0.03 | [5.8]:0.37 | [5.9]:0.2 | [6.0]:0.2"
3,8,4,"[9.1]:0.03 | [9.2]:0.28 | (9.2,9.5):0.06 | [9.5]:0.28 | (9.5,9.7):0.03 | [9.7]:0.28 | (9.7,9.9]:0.06"
3,8,3,"[5.6]:0.29 | (5.6,5.9):0.08 | [5.9]:0.29 | [6.0]:0.29 | [6.1]:0.04"
4,1,4,"[4.9]:0.29 | [5.0]:0.29 | (5.0,5.2):0.04 | [5.2]:0.29 | (5.2,5.4]:0.08"
