Job index,Operation index,Machine index,Grey processing time
1,1,1,[4.7]:1.0
1,1,3,[3.9]:0.75 | [4.0]:0.25
1,2,5,"[2.8]:0.19 | (2.8,3.1):0.06 | [3.1]:0.36 | [3.2]:0.19 | [3.3]:0.19"
1,2,3,"[4.6,4.9):0.09 | [4.9]:0.28 | (4.9,5.2):0.06 | [5.2]:0.53 | [5.3]:0.03"
1,2,2,"[0.9,1.1):0.33 | [1.1]:0.67"
1,3,3,[3.7]:0.25 | [3.8]:0.75
1,3,6,[1.8]:0.75 | [1.9]:0.25
1,4,6,"[4.7]:0.29 | (4.7,5.1):0.12 | [5.1]:0.29 | [5.2]:0.29"
1,4,2,"[5.5]:0.07 | [5.6]:0.57 | (5.6,6.1]:0.36"
1,4,1,[1.0]:1.0
1,5,3,[1.0]:0.12 | [1.1]:0.88
1,6,6,"[5.5]:0.05 | [5.6]:0.55 | (5.6,6.4]:0.4"
1,6,3,"[5.4,5.9):0.42 | [5.9]:0.58"
1,6,4,"[2.9]:0.03 | [3.0]:0.53 | [3.1]:0.37 | (3.1,3.3]:0.07"
2,1,2,[6.3]:0.38 | [6.4]:0.62
2,2,3,"[0.9]:0.67 | (0.9,1.1]:0.33"
2,3,1,[1.9]:0.33 | [2.0]:0.33 | [2.1]:0.33
2,4,2,"[5.6]:0.03 | [5.7]:0.23 | (5.7,5.9):0.03 | [5.9]:0.23 | [6.0]:0.23 | (6.0,6.2):0.03 | [6.2]:0.23 | [6.3]:0.03"
2,4,4,"[5.8,6.2):0.22 | [6.2]:0.72 | [6.3]:0.06"
2,5,6,[5.0]:0.39 | [5.1]:0.39 | [5.2]:0.22
2,5,2,"[5.6]:0.03 | [5.7]:0.43 | (5.7,6.1):0.09 | [6.1]:0.43 | [6.2]:0.03"
2,5,1,[1.0]:1.0
3,1,2,[6.2]:0.21 | [6.3]:0.38 | [6.4]:0.21 | [6.5]:0.21
3,2,3,[3.9]:0.38 | [4.0]:0.62
3,2,6,[2.1]:1.0
3,3,6,"[4.8,5.3):0.31 | [5.3]:0.56 | (5.3,5.5]:0.12"
3,3,2,[6.4]:0.75 | [6.5]:0.25
3,3,1,[1.0]:1.0
3,4,3,[4.2]:0.11 | [4.3]:0.78 | [4.4]:0.11
3,4,2,[5.8]:0.58 | [5.9]:0.33 | [6.0]:0.08
3,4,6,"[5.5]:0.04 | [5.6]:0.38 | (5.6,5.9):0.08 | [5.9]:0.38 | (5.9,6.2]:0.12"
3,5,1,[0.9]:0.33 | [1.0]:0.58 | [1.1]:0.08
3,5,5,"[4.5]:0.03 | [4.6]:0.2 | [4.7]:0.7 | (4.7,4.9]:0.07"
4,1,6,"[4.8,5.0):0.2 | [5.0]:0.6 | (5.0,5.2]:0.2"
4,1,2,"[5.9]:0.05 | [6.0]:0.3 | [6.1]:0.3 | (6.1,6.3):0.05 | [6.3]:0.3"
4,1,1,[0.9]:0.5 | [1.0]:0.5
4,2,2,"[5.4,5.6):0.07 | [5.6]:0.29 | (5.6,6.0):0.11 | [6.0]:0.54"
4,3,3,"[0.9,1.1):0.22 | [1.1]:0.78"
4,4,5,"[2.8]:0.37 | [2.9]:0.2 | [3.0]:0.37 | (3.0,3.2]:0.07"
4,4,3,[4.9]:0.33 | [5.0]:0.58 | [5.1]:0.08
4,4,2,[1.0]:1.0
4,5,3,[4.0]:1.0
4,5,6,[2.1]:0.5 | [2.2]:0.5
5,1,5,"[2.9]:0.3 | (2.9,3.2):0.1 | [3.2]:0.55 | [3.3]:0.05"
5,1,3,[5.2]:0.58 | [5.3]:0.42
5,1,2,[1.0]:0.38 | [1.1]:0.62
5,2,6,"[4.7]:0.24 | [4.8]:0.24 | (4.8,5.0):0.04 | [5.0]:0.24 | [5.1]:0.24"
5,2,2,"[5.8,6.3):0.28 | [6.3]:0.56 | (6.3,6.6]:0.17"
5,2,1,[0.9]:0.27 | [1.0]:0.47 | [1.1]:0.27
5,3,2,"[5.7,6.0):0.17 | [6.0]:0.56 | (6.0,6.5]:0.28"
5,4,1,"[4.9]:0.1 | [5.0]:0.6 | (5.0,5.3]:0.3"
5,4,3,"[3.8,4.3):0.36 | [4.3]:0.57 | [4.4]:0.07"
5,5,2,"[5.7,5.9):0.04 | [5.9]:0.22 | (5.9,6.1):0.02 | [6.1]:0.42 | (6.1,6.4):0.04 | [6.4]:0.22 | [6.5]:0.02"
5,5,4,[6.0]:0.62 | [6.1]:0.38
5,6,3,"[3.8]:0.3 | (3.8,4.0):0.05 | [4.0]:0.55 | (4.0,4.2]:0.1"
5,6,2,"[5.6]:0.03 | [5.7]:0.23 | (5.7,5.9):0.03 | [5.9]:0.23 | [6.0]:0.23 | (6.0,6.3):0.05 | [6.3]:0.23"
5,6,6,[5.5]:1.0
6,1,3,[3.9]:0.08 | [4.0]:0.92
6,1,6,[2.0]:0.1 | [2.1]:0.9
6,2,1,"[2.0]:0.67 | (2.0,2.2]:0.33"
6,3,3,[4.2]:0.38 | [4.3]:0.62
6,3,2,[5.8]:0.75 | [5.9]:0.25
6,3,6,[6.4]:1.0
6,4,2,[6.1]:0.04 | [6.2]:0.21 | [6.3]:0.38 | [6.4]:0.38
6,5,6,"[4.6]:0.1 | [4.7]:0.6 | (4.7,5.0]:0.3"
6,5,2,"[5.6]:0.03 | [5.7]:0.42 | (5.7,5.9):0.03 | [5.9]:0.23 | [6.0]:0.23 | (6.0,6.3]:0.07"
6,5,1,[0.9]:0.3 | [1.0]:0.7
6,6,1,[2.7]:0.11 | [2.8]:0.44 | [2.9]:0.44
6,6,4,[2.0]:1.0
7,1,6,[1.0]:1.0
7,2,1,[2.8]:0.56 | [2.9]:0.39 | [3.0]:0.06
7,2,4,[2.0]:1.0
7,3,3,[3.7]:0.83 | [3.8]:0.17
7,3,2,[6.4]:1.0
7,3,6,"[5.7]:0.35 | (5.7,6.2):0.07 | [6.2]:0.19 | [6.3]:0.19 | (6.3,6.5):0.02 | [6.5]:0.19"
7,4,2,"[6.3]:0.21 | [6.4]:0.54 | (6.4,6.6):0.04 | [6.6]:0.21"
7,4,5,[1.0]:1.0
7,4,1,"[6.2]:0.31 | [6.3]:0.31 | (6.3,6.5):0.06 | [6.5]:0.31"
7,5,3,[1.0]:1.0
8,1,3,"[3.7,3.9):0.25 | [3.9]:0.62 | [4.0]:0.12"
8,1,6,[2.0]:0.33 | [2.1]:0.33 | [2.2]:0.33
8,2,3,[3.9]:0.11 | [4.0]:0.44 | [4.1]:0.44
8,2,2,"[6.1]:0.07 | [6.2]:0.4 | [6.3]:0.4 | (6.3,6.5]:0.13"
8,2,6,"[5.4,5.7):0.08 | [5.7]:0.36 | (5.7,6.2):0.1 | [6.2]:0.36 | (6.2,6.6]:0.1"
8,3,6,[5.0]:0.17 | [5.1]:0.83
8,3,2,"[5.7,6.0):0.09 | [6.0]:0.28 | [6.1]:0.28 | (6.1,6.3):0.03 | [6.3]:0.28 | [6.4]:0.03"
8,3,1,[0.9]:0.44 | [1.0]:0.44 | [1.1]:0.11
8,4,2,"[5.7]:0.04 | [5.8]:0.29 | [5.9]:0.29 | [6.0]:0.29 | (6.0,6.3]:0.11"
8,5,2,[6.2]:1.0
8,5,4,"[5.4]:0.23 | (5.4,5.6):0.03 | [5.6]:0.23 | (5.6,5.8):0.03 | [5.8]:0.23 | [5.9]:0.23"
9,1,6,[1.0]:1.0
9,2,1,[0.9]:0.25 | [1.0]:0.75
9,2,5,"[4.7]:0.12 | [4.8]:0.62 | (4.8,5.0]:0.25"
9,3,6,"[5.8,6.0):0.17 | [6.0]:0.75 | [6.1]:0.08"
9,3,3,"[5.6]:0.56 | (5.6,5.8):0.06 | [5.8]:0.31 | [5.9]:0.06"
9,3,4,[2.9]:0.06 | [3.0]:0.72 | [3.1]:0.22
9,4,1,[1.9]:0.62 | [2.0]:0.38
9,5,3,[4.0]:0.17 | [4.1]:0.67 | [4.2]:0.17
9,5,2,[5.9]:0.22 | [6.0]:0.72 | [6.1]:0.06
9,5,6,[6.2]:0.5 | [6.3]:0.5
9,6,2,[5.6]:0.11 | [5.7]:0.78 | [5.8]:0.11
9,6,4,[5.5]:0.11 | [5.6]:0.44 | [5.7]:0.44
10,1,3,[4.1]:1.0
10,1,6,[1.9]:0.27 | [2.0]:0.67 | [2.1]:0.07
10,2,3,"[3.7,4.0):0.12 | [4.0]:0.54 | [4.1]:0.29 | [4.2]:0.04"
10,2,2,"[5.5]:0.44 | [5.6]:0.24 | [5.7]:0.24 | (5.7,5.9]:0.08"
10,2,6,[5.7]:0.75 | [5.8]:0.25
10,3,5,"[2.8]:0.39 | [2.9]:0.39 | (2.9,3.3]:0.22"
10,3,3,"[4.8,5.0):0.2 | [5.0]:0.6 | (5.0,5.2]:0.2"
10,3,2,[1.0]:0.5 | [1.1]:0.5
10,4,6,[1.1]:1.0
10,5,2,"[5.4]:0.36 | [5.5]:0.36 | [5.6]:0.19 | (5.6,5.9]:0.08"
10,5,4,[6.5]:1.0
10,6,1,"[2.7]:0.07 | [2.8]:0.57 | (2.8,3.3]:0.36"
10,6,4,[1.9]:0.25 | [2.0]:0.75
