Job index,Operation index,Machine index,Grey processing time
1,1,1,[6.3]:0.08 | [6.4]:0.58 | [6.5]:0.33
1,2,1,"[5.8]:0.28 | (5.8,6.3):0.12 | [6.3]:0.28 | [6.4]:0.28 | [6.5]:0.03"
1,2,7,"[8.7]:0.02 | [8.8]:0.18 | [8.9]:0.18 | (8.9,9.1):0.02 | [9.1]:0.35 | (9.1,9.4):0.03 | [9.4]:0.18 | (9.4,9.6]:0.03"
1,3,6,[6.6]:1.0
1,3,3,[1.0]:1.0
1,4,4,[2.1]:1.0
1,4,7,"[4.8]:0.31 | [4.9]:0.31 | (4.9,5.1):0.06 | [5.1]:0.31"
1,5,1,[8.5]:0.58 | [8.6]:0.42
1,5,3,"[8.3,8.5):0.1 | [8.5]:0.38 | (8.5,8.9):0.14 | [8.9]:0.38"
1,5,8,[8.6]:0.58 | [8.7]:0.42
1,6,2,[2.7]:0.47 | [2.8]:0.27 | [2.9]:0.27
1,6,4,[8.0]:0.58 | [8.1]:0.42
1,6,3,[1.9]:1.0
1,7,5,"[5.0,5.2):0.17 | [5.2]:0.75 | [5.3]:0.08"
1,7,6,"[6.4]:0.4 | (6.4,6.7):0.13 | [6.7]:0.4 | [6.8]:0.07"
1,8,6,[1.0]:1.0
1,8,4,"[6.4,6.6):0.03 | [6.6]:0.18 | (6.6,6.9):0.03 | [6.9]:0.35 | (6.9,7.2):0.03 | [7.2]:0.18 | [7.3]:0.18"
2,1,6,[1.0]:0.75 | [1.1]:0.25
2,2,6,[1.0]:0.75 | [1.1]:0.25
2,2,4,"[7.3]:0.42 | [7.4]:0.42 | (7.4,7.6]:0.17"
2,3,1,"[5.8,6.2):0.25 | [6.2]:0.56 | (6.2,6.5]:0.19"
2,4,6,"[6.7,6.9):0.17 | [6.9]:0.42 | [7.0]:0.42"
2,4,3,[0.9]:0.25 | [1.0]:0.75
2,5,2,"[3.1,3.3):0.22 | [3.3]:0.78"
2,5,4,[7.7]:0.75 | [7.8]:0.25
2,5,3,[1.9]:0.06 | [2.0]:0.56 | [2.1]:0.39
2,6,6,[1.8]:0.58 | [1.9]:0.33 | [2.0]:0.08
2,7,7,[2.1]:0.42 | [2.2]:0.58
3,1,6,[0.9]:0.75 | [1.0]:0.25
3,2,2,"[2.8]:0.31 | (2.8,3.0):0.06 | [3.0]:0.56 | [3.1]:0.06"
3,2,4,"[7.6]:0.08 | [7.7]:0.42 | (7.7,7.9):0.08 | [7.9]:0.42"
3,2,3,[2.1]:0.5 | [2.2]:0.5
3,3,3,[2.0]:1.0
3,3,7,[1.0]:0.75 | [1.1]:0.25
3,3,4,[3.9]:1.0
3,4,4,[1.9]:0.33 | [2.0]:0.33 | [2.1]:0.33
3,4,7,[4.5]:0.12 | [4.6]:0.88
3,5,1,"[7.2]:0.05 | [7.3]:0.45 | (7.3,7.5):0.05 | [7.5]:0.45"
3,5,3,[7.1]:0.05 | [7.2]:0.3 | [7.3]:0.3 | [7.4]:0.3 | [7.5]:0.05
3,6,4,[4.2]:1.0
3,6,3,[1.1]:1.0
4,1,7,[2.1]:1.0
4,2,1,"[5.9]:0.2 | [6.0]:0.53 | [6.1]:0.2 | (6.1,6.3]:0.07"
4,3,1,"[5.6]:0.03 | [5.7]:0.23 | [5.8]:0.23 | (5.8,6.0):0.03 | [6.0]:0.23 | [6.1]:0.23"
4,3,7,[9.1]:0.22 | [9.2]:0.56 | [9.3]:0.22
4,4,6,"[6.6,7.3):0.16 | [7.3]:0.52 | [7.4]:0.27 | (7.4,7.6]:0.05"
4,4,3,[1.0]:0.5 | [1.1]:0.5
4,5,4,[5.1]:0.88 | [5.2]:0.12
4,5,5,"[6.4]:0.36 | [6.5]:0.36 | (6.5,7.4]:0.27"
5,1,7,[2.0]:0.5 | [2.1]:0.5
5,2,1,[5.9]:0.17 | [6.0]:0.83
5,2,7,"[8.3,8.6):0.17 | [8.6]:0.56 | (8.6,9.1]:0.28"
5,3,4,"[3.9,4.3):0.4 | [4.3]:0.6"
5,3,3,[0.9]:0.17 | [1.0]:0.67 | [1.1]:0.17
5,4,1,[7.8]:0.38 | [7.9]:0.62
5,4,3,"[9.3]:0.03 | [9.4]:0.43 | (9.4,9.6):0.03 | [9.6]:0.23 | (9.6,9.9):0.06 | [9.9]:0.23"
5,4,8,"[9.4]:0.4 | [9.5]:0.4 | (9.5,9.8]:0.2"
5,5,1,"[6.7]:0.23 | (6.7,7.1):0.07 | [7.1]:0.23 | [7.2]:0.23 | [7.3]:0.23 | [7.4]:0.03"
5,5,3,[6.7]:0.62 | [6.8]:0.38
5,6,2,[3.0]:0.1 | [3.1]:0.9
5,6,4,"[7.6]:0.03 | [7.7]:0.37 | (7.7,7.9):0.03 | [7.9]:0.37 | (7.9,8.5]:0.2"
5,6,3,[1.9]:0.25 | [2.0]:0.75
5,7,4,[5.3]:0.56 | [5.4]:0.39 | [5.5]:0.06
5,7,5,[7.1]:0.05 | [7.2]:0.3 | [7.3]:0.3 | [7.4]:0.3 | [7.5]:0.05
6,1,6,"[2.0]:0.67 | (2.0,2.2]:0.33"
6,2,4,"[4.0,4.2):0.12 | [4.2]:0.56 | [4.3]:0.31"
6,2,3,[1.0]:0.42 | [1.1]:0.58
6,3,3,[2.0]:0.62 | [2.1]:0.38
6,3,7,[1.0]:1.0
6,3,4,[4.2]:1.0
6,4,6,[0.9]:1.0
6,4,4,"[6.6]:0.71 | (6.6,7.2]:0.29"
6,5,4,[5.1]:0.33 | [5.2]:0.58 | [5.3]:0.08
6,5,5,"[6.5]:0.45 | (6.5,6.7):0.05 | [6.7]:0.25 | [6.8]:0.25"
6,6,1,"[7.6]:0.19 | [7.7]:0.53 | (7.7,8.1):0.08 | [8.1]:0.19"
6,6,3,"[8.7]:0.29 | (8.7,9.0):0.07 | [9.0]:0.29 | (9.0,9.3):0.07 | [9.3]:0.29"
6,6,8,"[8.3,8.7):0.07 | [8.7]:0.27 | [8.8]:0.27 | (8.8,9.0):0.02 | [9.0]:0.27 | (9.0,9.6]:0.11"
6,7,1,[7.7]:1.0
6,7,3,[7.4]:0.25 | [7.5]:0.75
6,8,6,[1.0]:1.0
6,9,1,"[5.4]:0.03 | [5.5]:0.23 | (5.5,5.7):0.03 | [5.7]:0.23 | [5.8]:0.23 | [5.9]:0.23 | (5.9,6.1]:0.05"
6,9,7,[8.7]:0.58 | [8.8]:0.42
7,1,5,"[4.6]:0.03 | [4.7]:0.28 | [4.8]:0.28 | [4.9]:0.28 | (4.9,5.5]:0.15"
7,1,6,[6.8]:0.27 | [6.9]:0.67 | [7.0]:0.07
7,2,1,[6.9]:0.44 | [7.0]:0.44 | [7.1]:0.11
7,2,3,[7.3]:0.58 | [7.4]:0.42
7,3,6,[1.0]:1.0
7,3,4,"[6.8]:0.04 | [6.9]:0.29 | [7.0]:0.29 | (7.0,7.2):0.04 | [7.2]:0.29 | [7.3]:0.04"
7,4,6,[2.0]:0.22 | [2.1]:0.56 | [2.2]:0.22
7,5,6,[7.2]:1.0
7,5,3,[0.9]:0.75 | [1.0]:0.25
8,1,4,"[5.0,5.2):0.06 | [5.2]:0.36 | [5.3]:0.19 | [5.4]:0.36 | [5.5]:0.03"
8,1,5,[6.4]:0.25 | [6.5]:0.75
8,2,5,[4.9]:0.03 | [5.0]:0.19 | [5.1]:0.19 | [5.2]:0.36 | [5.3]:0.19 | [5.4]:0.03
8,2,6,"[7.5]:0.58 | (7.5,7.7):0.08 | [7.7]:0.33"
8,3,2,[2.9]:0.3 | [3.0]:0.7
8,3,4,"[8.4]:0.62 | (8.4,8.7]:0.38"
8,3,3,[2.0]:0.3 | [2.1]:0.7
8,4,6,[2.0]:0.62 | [2.1]:0.38
8,5,6,[0.9]:0.83 | [1.0]:0.17
8,6,1,"[5.5]:0.05 | [5.6]:0.38 | (5.6,6.0):0.14 | [6.0]:0.38 | [6.1]:0.05"
8,6,7,"[9.0,9.3):0.17 | [9.3]:0.56 | (9.3,9.8]:0.28"
9,1,1,"[5.6,6.0):0.19 | [6.0]:0.38 | [6.1]:0.38 | [6.2]:0.05"
9,2,1,"[5.5]:0.19 | (5.5,5.8):0.04 | [5.8]:0.19 | (5.8,6.0):0.02 | [6.0]:0.19 | [6.1]:0.19 | (6.1,6.3):0.02 | [6.3]:0.19"
9,2,7,"[8.7,8.9):0.03 | [8.9]:0.22 | (8.9,9.2):0.03 | [9.2]:0.42 | (9.2,9.6):0.05 | [9.6]:0.22 | (9.6,9.8]:0.03"
9,3,4,[4.0]:0.42 | [4.1]:0.58
9,3,3,[0.9]:0.9 | [1.0]:0.1
9,4,1,[8.8]:1.0
9,4,3,[9.3]:0.42 | [9.4]:0.58
9,4,8,"[8.5,9.0):0.19 | [9.0]:0.37 | (9.0,9.2):0.04 | [9.2]:0.37 | [9.3]:0.04"
9,5,4,[2.1]:1.0
9,5,7,"[4.9,5.3):0.33 | [5.3]:0.58 | [5.4]:0.08"
9,6,6,[1.0]:1.0
9,6,4,"[6.5]:0.03 | [6.6]:0.23 | (6.6,6.9):0.06 | [6.9]:0.63 | (6.9,7.1]:0.06"
9,7,7,[2.0]:0.07 | [2.1]:0.47 | [2.2]:0.47
9,8,1,"[6.8,7.2):0.25 | [7.2]:0.56 | (7.2,7.5]:0.19"
9,8,3,[7.1]:1.0
9,9,2,[2.8]:1.0
9,9,4,[7.3]:0.08 | [7.4]:0.42 | [7.5]:0.42 | [7.6]:0.08
9,9,3,[1.8]:0.06 | [1.9]:0.39 | [2.0]:0.56
10,1,5,[5.1]:0.08 | [5.2]:0.92
10,1,6,[7.6]:1.0
10,2,1,"[5.8,6.0):0.2 | [6.0]:0.6 | (6.0,6.2]:0.2"
10,3,7,[2.0]:0.75 | [2.1]:0.25
10,4,4,"[4.7,4.9):0.1 | [4.9]:0.55 | [5.0]:0.3 | [5.1]:0.05"
10,4,5,"[6.9]:0.21 | (6.9,7.1):0.04 | [7.1]:0.38 | [7.2]:0.38"
10,5,1,[5.5]:0.75 | [5.6]:0.25
10,5,7,"[8.6]:0.22 | (8.6,8.9):0.04 | [8.9]:0.42 | (8.9,9.2):0.04 | [9.2]:0.22 | (9.2,9.6]:0.07"
11,1,1,"[8.1]:0.06 | [8.2]:0.39 | (8.2,8.4):0.06 | [8.4]:0.39 | (8.4,8.6]:0.11"
11,1,3,"[8.1,8.4):0.04 | [8.4]:0.26 | (8.4,9.3):0.11 | [9.3]:0.26 | [9.4]:0.26 | (9.4,9.8]:0.06"
11,1,8,[8.8]:1.0
11,2,1,"[5.9,6.4):0.36 | [6.4]:0.57 | [6.5]:0.07"
11,3,2,[3.0]:0.25 | [3.1]:0.75
11,3,4,[7.4]:0.25 | [7.5]:0.45 | [7.6]:0.25 | [7.7]:0.05
11,3,3,[2.0]:0.58 | [2.1]:0.42
11,4,4,[2.0]:0.75 | [2.1]:0.25
11,4,7,[4.8]:1.0
12,1,4,"[1.8]:0.42 | [1.9]:0.42 | (1.9,2.1]:0.17"
12,1,7,[5.0]:0.38 | [5.1]:0.62
12,2,6,[0.9]:0.27 | [1.0]:0.47 | [1.1]:0.27
12,3,1,[5.5]:0.25 | [5.6]:0.75
12,4,1,"[6.8,7.2):0.33 | [7.2]:0.58 | [7.3]:0.08"
12,4,3,"[6.8]:0.56 | (6.8,7.6]:0.44"
12,5,1,"[8.3,8.5):0.06 | [8.5]:0.36 | [8.6]:0.19 | [8.7]:0.19 | [8.8]:0.19"
12,5,3,[8.6]:0.47 | [8.7]:0.27 | [8.8]:0.27
12,5,8,"[8.8,9.4):0.3 | [9.4]:0.55 | (9.4,9.7]:0.15"
12,6,7,[1.9]:0.33 | [2.0]:0.33 | [2.1]:0.33
13,1,6,[2.1]:0.38 | [2.2]:0.62
13,2,6,[7.1]:0.17 | [7.2]:0.83
13,2,3,[1.0]:1.0
13,3,6,[1.0]:0.5 | [1.1]:0.5
13,3,4,"[6.3,6.6):0.05 | [6.6]:0.22 | (6.6,6.8):0.02 | [6.8]:0.22 | [6.9]:0.22 | (6.9,7.3):0.05 | [7.3]:0.22 | (7.3,7.5]:0.03"
13,4,5,[5.0]:0.25 | [5.1]:0.75
13,4,6,"[6.3]:0.08 | [6.4]:0.58 | (6.4,6.8]:0.33"
14,1,5,[4.5]:0.75 | [4.6]:0.25
14,1,6,"[6.4,6.8):0.11 | [6.8]:0.28 | (6.8,7.1):0.06 | [7.1]:0.28 | [7.2]:0.28"
14,2,6,[0.9]:1.0
14,3,4,[1.9]:0.25 | [2.0]:0.75
14,3,7,"[4.7,5.1):0.33 | [5.1]:0.58 | [5.2]:0.08"
15,1,4,"[4.8]:0.07 | [4.9]:0.57 | (4.9,5.4]:0.36"
15,1,5,"[6.3,6.6):0.3 | [6.6]:0.6 | [6.7]:0.1"
15,2,7,[2.0]:1.0
15,3,1,"[7.3]:0.02 | [7.4]:0.18 | (7.4,7.7):0.03 | [7.7]:0.18 | (7.7,8.1):0.05 | [8.1]:0.52 | (8.1,8.3]:0.03"
15,3,3,[9.5]:0.17 | [9.6]:0.67 | [9.7]:0.17
15,3,8,"[9.4]:0.12 | [9.5]:0.62 | (9.5,9.7]:0.25"
15,4,2,[3.2]:1.0
15,4,4,"[7.3,7.8):0.07 | [7.8]:0.21 | (7.8,8.1):0.03 | [8.1]:0.21 | [8.2]:0.41 | (8.2,8.7]:0.07"
15,4,3,[1.9]:0.11 | [2.0]:0.44 | [2.1]:0.44
15,5,3,[2.1]:1.0
15,5,7,"[0.9]:0.67 | (0.9,1.1]:0.33"
