Job index,Operation index,Machine index,Grey processing time
1,1,7,[17.8]:1.0
1,1,4,[4.8]:1.0
1,2,5,"[6.4]:0.18 | (6.4,7.1):0.08 | [7.1]:0.35 | [7.2]:0.35 | (7.2,7.5]:0.04"
1,2,7,"[6.8]:0.23 | [6.9]:0.23 | (6.9,7.1):0.03 | [7.1]:0.23 | [7.2]:0.23 | (7.2,7.4]:0.06"
1,3,3,"[18.5,19.1):0.18 | [19.1]:0.7 | (19.1,19.5]:0.12"
1,4,7,"[13.0,13.5):0.09 | [13.5]:0.27 | (13.5,13.7):0.02 | [13.7]:0.52 | (13.7,14.3]:0.11"
1,5,4,"[4.9,5.2):0.38 | [5.2]:0.62"
1,5,10,"[11.4]:0.43 | (11.4,11.7):0.07 | [11.7]:0.43 | (11.7,11.9]:0.07"
1,6,1,"[10.1]:0.78 | (10.1,10.3]:0.22"
1,7,10,"[17.2]:0.2 | [17.3]:0.2 | (17.3,17.6):0.07 | [17.6]:0.53"
1,8,7,"[9.7,9.9):0.06 | [9.9]:0.36 | (9.9,10.5):0.14 | [10.5]:0.36 | (10.5,10.8]:0.08"
1,8,8,"[18.4,19.4):0.28 | [19.4]:0.36 | [19.5]:0.36"
1,9,3,"[11.0]:0.04 | [11.1]:0.54 | [11.2]:0.29 | (11.2,11.5]:0.12"
1,9,8,"[8.4,8.6):0.07 | [8.6]:0.54 | (8.6,9.7]:0.39"
1,10,3,"[4.6,4.9):0.07 | [4.9]:0.19 | [5.0]:0.36 | [5.1]:0.19 | [5.2]:0.19"
1,10,8,[11.6]:0.83 | [11.7]:0.17
2,1,2,[4.6]:1.0
2,2,7,"[16.4]:0.27 | [16.5]:0.27 | [16.6]:0.27 | (16.6,17.6]:0.19"
2,2,4,"[4.6,4.8):0.07 | [4.8]:0.37 | (4.8,5.3):0.15 | [5.3]:0.37 | [5.4]:0.04"
2,3,3,[4.6]:0.33 | [4.7]:0.58 | [4.8]:0.08
2,3,8,"[11.1,11.3):0.04 | [11.3]:0.22 | (11.3,11.8):0.08 | [11.8]:0.22 | [11.9]:0.42 | [12.0]:0.02"
2,4,1,"[10.7]:0.67 | (10.7,10.9):0.07 | [10.9]:0.27"
